1,Facultad de Ingenier��a,Libertador General San Martin 1109 (O) ,Capital,0264-4222074 - 4222643
1,1,BioIngenieria,Bioingeniero,Once Semestres,Grado
1,2,Ingeniería Electrónica, Ingeniero en Electrónica, Once Semestres,Grad
1,3,Ingeniería Electrica,Ingeniero en Electrico,Diez Semestres,Grado
1,4,Ingeniería en Agrimensura,Ingeniero Agrimensor,Diez Semestres,Grado
1,5,Ingeniería Electromecánica,Ingeniero Electromecánico,Once Semestres,Grado
1,6,Ingenieria Industrial,Ingeniero Industrial,Diez Semestres,Grado
1,7,Ingenieria Mecánica,Ingeniero Mecánico,Once Semestres,Grado
1,8,Ingenieria Civil,Ingeniero Civil,Diez Semestres,Grado
1,9,Ingenieria en Minas,Ingeniero en Minas,Diez Semestres,Grado
1,10,Ingenieria en Metalúrgica Extractiva,Ingeniero Metalurgista,Diez Semestres,Grado
1,11,Ingenieria en Alimentos,Ingeniero en Alimentos ,Diez Semestres,Grado
1,12,Ingeniería en Agronómica,Ingeniero Agrónomo,Diez Semestres,Grado
2, Facultad de Ciencias Exactas Físicas y Naturales,Avenida Ignacio de la Roza 590 (Oeste),Rivadavia,0264-4260353-4260355
2,1,Licenciatura en Sistemas de Informaci�n,Licenciado en Sistemas de Información,Diez Semestres,Grado
2,2,Licenciatura en Ciencias de la Computaci�n,Licenciado en Ciencias de la Computación,Diez Semestres,Grado
2,3,Tecnicatura en Programación Web,Técnico en Programación Web,Tres Semestres, Pre grado
